CODIGO CLIENTE;CODIGO UNICO;PUNTOS;FECHA;OBSERVACIONES;MOTIVO
371997;KPO435;500;28/02/2017;Volumen Febrero;VOLUMEN
370879;CJS541;500;28/02/2017;Volumen Febrero;VOLUMEN
379737;QSR125;500;28/02/2017;Volumen Febrero;VOLUMEN
379673;AIF975;500;28/02/2017;Volumen Febrero;VOLUMEN
173697;HCR659;500;28/02/2017;Volumen Febrero;VOLUMEN
320920;IJB208;500;28/02/2017;Volumen Febrero;VOLUMEN
365076;THS835;500;28/02/2017;Volumen Febrero;VOLUMEN
100526;KVY651;500;28/02/2017;Volumen Febrero;VOLUMEN
168009;OSJ733;500;28/02/2017;Volumen Febrero;VOLUMEN
171236;GUJ267;500;28/02/2017;Volumen Febrero;VOLUMEN
171445;DLJ962;500;28/02/2017;Volumen Febrero;VOLUMEN
173689;LGG938;500;28/02/2017;Volumen Febrero;VOLUMEN
174099;WYU400;500;28/02/2017;Volumen Febrero;VOLUMEN
186593;NPV563;500;28/02/2017;Volumen Febrero;VOLUMEN
188116;KCH676;500;28/02/2017;Volumen Febrero;VOLUMEN
305747;COV990;500;28/02/2017;Volumen Febrero;VOLUMEN
309143;AQG593;500;28/02/2017;Volumen Febrero;VOLUMEN
309665;QOR404;500;28/02/2017;Volumen Febrero;VOLUMEN
311751;QTT469;500;28/02/2017;Volumen Febrero;VOLUMEN
312276;IOU429;500;28/02/2017;Volumen Febrero;VOLUMEN
312899;NEZ339;500;28/02/2017;Volumen Febrero;VOLUMEN
313536;MKV107;500;28/02/2017;Volumen Febrero;VOLUMEN
316611;XOP163;500;28/02/2017;Volumen Febrero;VOLUMEN
317056;WJQ164;500;28/02/2017;Volumen Febrero;VOLUMEN
317266;VZV459;500;28/02/2017;Volumen Febrero;VOLUMEN
317750;FHG779;500;28/02/2017;Volumen Febrero;VOLUMEN
322061;ZBG925;500;28/02/2017;Volumen Febrero;VOLUMEN
325375;EBA713;500;28/02/2017;Volumen Febrero;VOLUMEN
326469;HFE503;500;28/02/2017;Volumen Febrero;VOLUMEN
329817;WUD701;500;28/02/2017;Volumen Febrero;VOLUMEN
331052;LSS128;500;28/02/2017;Volumen Febrero;VOLUMEN
331442;JKR259;500;28/02/2017;Volumen Febrero;VOLUMEN
333947;WPI950;500;28/02/2017;Volumen Febrero;VOLUMEN
336698;VXP382;500;28/02/2017;Volumen Febrero;VOLUMEN
337072;BXX632;500;28/02/2017;Volumen Febrero;VOLUMEN
337703;FGS385;500;28/02/2017;Volumen Febrero;VOLUMEN
339648;IQQ351;500;28/02/2017;Volumen Febrero;VOLUMEN
339679;LGY845;500;28/02/2017;Volumen Febrero;VOLUMEN
339682;BAV989;500;28/02/2017;Volumen Febrero;VOLUMEN
342712;SZR249;500;28/02/2017;Volumen Febrero;VOLUMEN
342820;NID317;500;28/02/2017;Volumen Febrero;VOLUMEN
342989;FHO254;500;28/02/2017;Volumen Febrero;VOLUMEN
345250;NJL756;500;28/02/2017;Volumen Febrero;VOLUMEN
354345;DJA868;500;28/02/2017;Volumen Febrero;VOLUMEN
354706;GDT830;500;28/02/2017;Volumen Febrero;VOLUMEN
358138;TTS763;500;28/02/2017;Volumen Febrero;VOLUMEN
360553;HZQ227;500;28/02/2017;Volumen Febrero;VOLUMEN
363567;VSC135;500;28/02/2017;Volumen Febrero;VOLUMEN
365849;DRD923;500;28/02/2017;Volumen Febrero;VOLUMEN
366956;VFR842;500;28/02/2017;Volumen Febrero;VOLUMEN
366992;WEX183;500;28/02/2017;Volumen Febrero;VOLUMEN
367077;IQT448;500;28/02/2017;Volumen Febrero;VOLUMEN
368528;YBY874;500;28/02/2017;Volumen Febrero;VOLUMEN
368702;HNT607;500;28/02/2017;Volumen Febrero;VOLUMEN
368763;UKB212;500;28/02/2017;Volumen Febrero;VOLUMEN
369746;NLM113;500;28/02/2017;Volumen Febrero;VOLUMEN
371817;MKE376;500;28/02/2017;Volumen Febrero;VOLUMEN
371834;GKG731;500;28/02/2017;Volumen Febrero;VOLUMEN
372352;ZXE660;500;28/02/2017;Volumen Febrero;VOLUMEN
372461;KFK171;500;28/02/2017;Volumen Febrero;VOLUMEN
372832;NJE303;500;28/02/2017;Volumen Febrero;VOLUMEN
372859;CIP440;500;28/02/2017;Volumen Febrero;VOLUMEN
373133;CMI323;500;28/02/2017;Volumen Febrero;VOLUMEN
373253;QXW380;500;28/02/2017;Volumen Febrero;VOLUMEN
373280;XDF300;500;28/02/2017;Volumen Febrero;VOLUMEN
373426;FDB970;500;28/02/2017;Volumen Febrero;VOLUMEN
373683;THU440;500;28/02/2017;Volumen Febrero;VOLUMEN
376008;MXV675;500;28/02/2017;Volumen Febrero;VOLUMEN
376100;RDX160;500;28/02/2017;Volumen Febrero;VOLUMEN
377186;DSX792;500;28/02/2017;Volumen Febrero;VOLUMEN
377929;JDP938;500;28/02/2017;Volumen Febrero;VOLUMEN
378384;WUN713;500;28/02/2017;Volumen Febrero;VOLUMEN
