CODIGO DE CLIENTE;CODIGO UNICO;PUNTOS;FECHA;OBSERVACIONES;MOTIVO
381882;VWF799;500;31/01/2017;Volumen Enero;VOLUMEN
33095;KLD953;500;31/01/2017;Volumen Enero;VOLUMEN
313451;HZU925;500;31/01/2017;Volumen Enero;VOLUMEN
370879;CJS541;500;31/01/2017;Volumen Enero;VOLUMEN
100526;KVY651;500;31/01/2017;Volumen Enero;VOLUMEN
136572;IQJ698;500;31/01/2017;Volumen Enero;VOLUMEN
137569;CIW298;500;31/01/2017;Volumen Enero;VOLUMEN
171445;DLJ962;500;31/01/2017;Volumen Enero;VOLUMEN
173080;OLD340;500;31/01/2017;Volumen Enero;VOLUMEN
174099;WYU400;500;31/01/2017;Volumen Enero;VOLUMEN
301740;HDL765;500;31/01/2017;Volumen Enero;VOLUMEN
305103;GFC837;500;31/01/2017;Volumen Enero;VOLUMEN
305747;COV990;500;31/01/2017;Volumen Enero;VOLUMEN
309665;QOR404;500;31/01/2017;Volumen Enero;VOLUMEN
312899;NEZ339;500;31/01/2017;Volumen Enero;VOLUMEN
319789;LKH582;500;31/01/2017;Volumen Enero;VOLUMEN
324428;WIL765;500;31/01/2017;Volumen Enero;VOLUMEN
330049;WDF407;500;31/01/2017;Volumen Enero;VOLUMEN
331052;LSS128;500;31/01/2017;Volumen Enero;VOLUMEN
337703;FGS385;500;31/01/2017;Volumen Enero;VOLUMEN
342745;CKW512;500;31/01/2017;Volumen Enero;VOLUMEN
345250;NJL756;500;31/01/2017;Volumen Enero;VOLUMEN
354706;GDT830;500;31/01/2017;Volumen Enero;VOLUMEN
354778;SRB732;500;31/01/2017;Volumen Enero;VOLUMEN
358282;HUQ727;500;31/01/2017;Volumen Enero;VOLUMEN
358823;ONS684;500;31/01/2017;Volumen Enero;VOLUMEN
363567;VSC135;500;31/01/2017;Volumen Enero;VOLUMEN
368528;YBY874;500;31/01/2017;Volumen Enero;VOLUMEN
369746;NLM113;500;31/01/2017;Volumen Enero;VOLUMEN
370930;WGQ746;500;31/01/2017;Volumen Enero;VOLUMEN
371834;GKG731;500;31/01/2017;Volumen Enero;VOLUMEN
372832;NJE303;500;31/01/2017;Volumen Enero;VOLUMEN
373768;FSD892;500;31/01/2017;Volumen Enero;VOLUMEN
374464;ARY992;500;31/01/2017;Volumen Enero;VOLUMEN
376100;RDX160;500;31/01/2017;Volumen Enero;VOLUMEN
377186;DSX792;500;31/01/2017;Volumen Enero;VOLUMEN
377308;RLL621;500;31/01/2017;Volumen Enero;VOLUMEN
378412;HOC311;500;31/01/2017;Volumen Enero;VOLUMEN
378688;TSE666;500;31/01/2017;Volumen Enero;VOLUMEN
380642;AUK986;500;31/01/2017;Volumen Enero;VOLUMEN
388256;MTU591;500;31/01/2017;Volumen Enero;VOLUMEN
389440;UQO979;500;31/01/2017;Volumen Enero;VOLUMEN
389871;PLP772;500;31/01/2017;Volumen Enero;VOLUMEN
390238;QOJ450;500;31/01/2017;Volumen Enero;VOLUMEN
391880;JBC941;500;31/01/2017;Volumen Enero;VOLUMEN
395677;EBT381;500;31/01/2017;Volumen Enero;VOLUMEN
91086;DBT660;500;31/01/2017;Volumen Enero;VOLUMEN
142189;HNO994;500;31/01/2017;Volumen Enero;VOLUMEN
173391;JUE934;500;31/01/2017;Volumen Enero;VOLUMEN
189187;EIW612;500;31/01/2017;Volumen Enero;VOLUMEN
301593;EHV970;500;31/01/2017;Volumen Enero;VOLUMEN
302066;BWE126;500;31/01/2017;Volumen Enero;VOLUMEN
